chargeDeviceID,name,latitude,longitude,town,county,postcode,locationType,chargeDeviceStatus,paymentRequired,accessRestrictionFlag,parkingFeesFlag,subscriptionRequired,access24Hours,connector1Type,connector1RatedOutputKW,connector1ChargeMethod,connector1Status
3c6d4f6a20e08ad47557b4fc5e67dbc8,Newcastle Civic Centre Surface,54.978903,-1.610728,Newcastle upon Tyne,Tyne and Wear,NE1 8PP,Other,In service,Yes,0,0,1,Unknown,3-pin Type G (BS1363),3,Single Phase AC,In service
0eb0cfb54e452e7c8110cd04ad6588dd,Newcastle Civic Centre Surface,54.978701,-1.610728,Newcastle upon Tyne,Tyne and Wear,NE1 8PP,Other,In service,Yes,0,0,1,Unknown,3-pin Type G (BS1363),3,Single Phase AC,In service
8a608ab5ea3865ae688ac2f8b1cc3b61,Newcastle Civic Centre Surface,54.978505,-1.610675,Newcastle upon Tyne,Tyne and Wear,NE1 8PP,Other,In service,Yes,0,0,1,Unknown,3-pin Type G (BS1363),3,Single Phase AC,In service
4c6c5a798d2e7f2e007de69322bb2359,Newcastle Civic Centre Surface,54.978805,-1.610728,Newcastle upon Tyne,Tyne and Wear,NE1 8PP,Other,In service,Yes,0,0,1,Unknown,3-pin Type G (BS1363),3,Single Phase AC,In service
c8b7a9d67af41991945f77465ef58f1a,Civic Centre Underground Car Park,54.978505,-1.610228,Newcastle upon Tyne,Tyne and Wear,NE1 8PP,Other,In service,Yes,0,0,1,No,3-pin Type G (BS1363),3,Single Phase AC,In service
c13ce2ce7cd12830d03b9d996bc05388,Stella House,54.9688,-1.713924,Newcastle upon Tyne,Tyne and Wear,NE15 8NY,Other,In service,Yes,0,0,1,Unknown,3-pin Type G (BS1363),3,Single Phase AC,In service
eede2d28a4d05ac58f8b79102668ad34,Stella House,54.968929,-1.713924,Newcastle upon Tyne,Tyne and Wear,NE15 8NY,Other,In service,Yes,0,0,1,Unknown,3-pin Type G (BS1363),3,Single Phase AC,In service
087b1413b8b81559549306f55a01ebc3,Newcastle University Visitors Car Park,54.979692,-1.613544,Newcastle upon Tyne,Tyne and Wear,NE1 7RU,Educational establishment,In service,Yes,0,0,1,Unknown,3-pin Type G (BS1363),3,Single Phase AC,In service
e7b966126309c9707f07563d62d14f0c,Central Square South,54.967003,-1.613909,Newcastle upon Tyne,Tyne and Wear,NE1 3XX,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
8e03ddb0982e1deb2023db3758f12ef5,Condercum Road Depot,54.973204,-1.661165,Newcastle upon Tyne,Tyne and Wear,NE4 8XN,Other,In service,Yes,0,0,1,Unknown,3-pin Type G (BS1363),3,Single Phase AC,In service
