id,sessionStart,sessionStop,connectorType,energy_consumption(kWh),authType,authId,chargerId,locationId,duration_hrs,time_based_util_rate,Month,Season,day,Carbon_Intensity_(gCO2/kWh),Carbon_Emissions_(gCO2),hour,day_type,emission_per_kWh,month_name
1ff7bb21-86f6-4a58-9713-63c9551b0dc3,2021-03-18 17:39:00,2021-03-18 17:59:00,IEC_62196_T2_COMBO,9.509,CUSTOMER,1062232,5000198,50112,0.325,1.354166667,3,Spring,Thursday,60,570.54,17,weekday,59.99999999999999,March
4ec4bf07-f359-4199-93d3-ec842a450cfa,2021-03-18 19:00:00,2021-03-18 19:33:00,CHADEMO,6.566,CUSTOMER,1056758,5000194,50112,0.5575,2.322916667,3,Spring,Thursday,66,433.356,19,weekday,66.0,March
63ef2126-e813-4225-982d-fcd89108f2ba,2021-03-18 20:43:00,2021-03-18 21:07:00,CHADEMO,13.882,CUSTOMER,1076569,5000197,50112,0.406944444,1.695601852,3,Spring,Thursday,71,985.622,20,weekday,71.0,March
707dbb44-cb45-4cea-ab86-dec7c06d6a43,2021-03-18 21:23:00,2021-03-18 21:47:00,IEC_62196_T2_COMBO,18.428,CUSTOMER,1073736,5000198,50112,0.407777778,1.699074074,3,Spring,Thursday,56,1031.968,21,weekday,56.0,March
55a243f9-6c3a-4a53-a964-fc7f3d88ddb7,2021-03-18 22:24:00,2021-03-18 23:09:00,CHADEMO,12.836,CUSTOMER,1073736,5000197,50112,0.751111111,3.12962963,3,Spring,Thursday,46,590.456,22,weekday,46.0,March
7044201b-713f-48cc-82a5-b2eaed96ca4d,2021-03-19 07:14:00,2021-03-19 07:54:00,CHADEMO,14.757,CUSTOMER,1053468,5000194,50112,0.661388889,2.755787037,3,Spring,Friday,91,1342.887,7,weekday,91.0,March
ad121474-085d-4f7e-8edb-1f3045b3ddf5,2021-03-19 10:24:00,2021-03-19 10:51:00,CHADEMO,14.025,CUSTOMER,1073736,5000194,50112,0.459444444,1.914351852,3,Spring,Friday,135,1893.375,10,weekday,135.0,March
6e54ee4e-fdaf-41ca-bf7c-2a1b86f19237,2021-03-19 10:29:00,2021-03-19 11:20:00,IEC_62196_T2_COMBO,14.223,CHARGE_CARD,18605207,5000199,50112,0.846944444,3.528935185,3,Spring,Friday,135,1920.105,10,weekday,135.0,March
669ff3c8-c05e-40bd-820e-a4bfccfa76cb,2021-03-19 11:14:00,2021-03-19 11:45:00,CHADEMO,12.169,CUSTOMER,1073736,5000197,50112,0.509444444,2.122685185,3,Spring,Friday,131,1594.139,11,weekday,131.0,March
b4caeaef-bbe8-4ed1-8bbc-e8fb1bf29a39,2021-03-19 11:57:00,2021-03-19 12:28:00,IEC_62196_T2_COMBO,13.226,CUSTOMER,1073736,5000199,50112,0.5125,2.135416667,3,Spring,Friday,128,1692.928,11,weekday,128.0,March
838e0a22-b360-4ddd-b89c-d6bd17c6bb24,2021-03-19 15:08:00,2021-03-19 15:51:00,CHADEMO,7.892,ANONYMOUS,2361077,5000197,50112,0.718055556,2.991898148,3,Spring,Friday,139,1096.988,15,weekday,139.0,March
9143370b-5d9c-4806-9817-9a31100c22c4,2021-03-19 17:28:00,2021-03-19 17:52:00,CHADEMO,12.572,CUSTOMER,1076569,5000197,50112,0.403888889,1.68287037,3,Spring,Friday,144,1810.368,17,weekday,144.0,March
c145aedf-334d-497a-9294-8f64c3ad9741,2021-03-19 20:12:00,2021-03-19 20:38:00,CHADEMO,12.274,CUSTOMER,1075863,5000194,50112,0.430833333,1.795138889,3,Spring,Friday,134,1644.716,20,weekday,134.0,March
55d361b1-506c-47dd-8105-60d180d51b8b,2021-03-19 21:02:00,2021-03-19 21:32:00,IEC_62196_T2_COMBO,13.197,CUSTOMER,1073736,5000198,50112,0.495277778,2.063657407,3,Spring,Friday,137,1807.989,21,weekday,137.0,March
f5f2e358-10f9-45e5-8af8-9bfac151b1b3,2021-03-20 05:24:00,2021-03-20 06:09:00,CHADEMO,15.576,CUSTOMER,1075847,5000196,50112,0.751388889,3.130787037,3,Spring,Saturday,41,638.616,5,weekend,41.0,March
c063d25b-a7d3-45e0-bd80-58d8b790dd0b,2021-03-20 07:30:00,2021-03-20 08:53:00,CHADEMO,31.514,CUSTOMER,1053468,5000194,50112,1.384722222,5.769675926,3,Spring,Saturday,43,1355.102,7,weekend,43.00000000000001,March
f0fb3b18-cead-4bfe-a760-4f5f11b6dc93,2021-03-20 10:07:00,2021-03-20 10:45:00,IEC_62196_T2_COMBO,18.718,CUSTOMER,1073736,5000199,50112,0.623055556,2.596064815,3,Spring,Saturday,41,767.438,10,weekend,41.0,March
a24715cf-220e-4900-b0ab-47f9bc5c7482,2021-03-20 10:50:00,2021-03-20 11:20:00,CHADEMO,9.443,CUSTOMER,1075847,5000196,50112,0.513611111,2.140046296,3,Spring,Saturday,30,283.29,10,weekend,30.000000000000004,March
73feb5f7-5b34-424d-8531-87c98507be51,2021-03-20 14:22:00,2021-03-20 14:58:00,IEC_62196_T2_COMBO,28.291,CUSTOMER,1066002,5000199,50112,0.591111111,2.462962963,3,Spring,Saturday,32,905.312,14,weekend,32.0,March
ee36f82c-2ab4-4b15-9d3e-cb9de1f0af45,2021-03-20 16:38:00,2021-03-20 17:23:00,IEC_62196_T2_COMBO,13.848,ANONYMOUS,2369868,5000197,50112,0.763055556,3.179398148,3,Spring,Saturday,31,429.288,16,weekend,31.0,March
425734f4-cf3c-40ce-a56d-be9dda9a61a4,2021-03-20 17:40:00,2021-03-20 18:00:00,IEC_62196_T2_COMBO,16.851,CUSTOMER,1071861,5000195,50112,0.343333333,1.430555556,3,Spring,Saturday,32,539.232,17,weekend,32.0,March
15b05aef-c793-4ade-affe-02cb6cd94b7c,2021-03-20 18:54:00,2021-03-20 19:27:00,IEC_62196_T2_COMBO,18.91,CUSTOMER,1073736,5000199,50112,0.551388889,2.297453704,3,Spring,Saturday,41,775.31,18,weekend,41.0,March
0e75857b-963a-450a-b0b6-2841c69ed811,2021-03-20 19:56:00,2021-03-20 20:23:00,CHADEMO,7.263,CUSTOMER,1075863,5000197,50112,0.441666667,1.840277778,3,Spring,Saturday,43,312.309,19,weekend,43.00000000000001,March
4a4f9373-0e68-4ef2-a611-78c25fa192af,2021-03-20 20:34:00,2021-03-20 21:10:00,CHADEMO,6.854,CUSTOMER,1075863,5000197,50112,0.593888889,2.474537037,3,Spring,Saturday,39,267.306,20,weekend,39.0,March
3e973138-519f-46c5-8795-e894448efcc9,2021-03-20 21:29:00,2021-03-20 22:01:00,IEC_62196_T2_COMBO,23.76,CUSTOMER,1073736,5000199,50112,0.526388889,2.193287037,3,Spring,Saturday,33,784.08,21,weekend,33.0,March
79e80ddd-fd09-4cf0-9e84-e9183fb05979,2021-03-21 05:25:00,2021-03-21 06:11:00,CHADEMO,13.966,CUSTOMER,1075847,5000195,50112,0.751388889,3.130787037,3,Spring,Sunday,41,572.606,5,weekend,41.0,March
914f0fee-e922-4b45-83eb-b13d6035eb97,2021-03-21 06:34:00,2021-03-21 06:56:00,CHADEMO,14.603,CUSTOMER,1053468,5000194,50112,0.373333333,1.555555556,3,Spring,Sunday,60,876.18,6,weekend,60.0,March
50323eb8-5bc9-4725-9d50-41b0889cba6a,2021-03-21 08:17:00,2021-03-21 08:52:00,IEC_62196_T2_COMBO,17.678,CUSTOMER,1076979,5000197,50112,0.585277778,2.438657407,3,Spring,Sunday,63,1113.714,8,weekend,62.99999999999999,March
9917c25e-3e7f-4b68-bdea-efab6ba00897,2021-03-21 10:02:00,2021-03-21 11:32:00,IEC_62196_T2_COMBO,18.411,CUSTOMER,1076979,5000197,50112,1.508888889,6.287037037,3,Spring,Sunday,71,1307.181,10,weekend,71.0,March
a5dfb876-145d-4da8-b930-975ed9a52c73,2021-03-21 12:44:00,2021-03-21 13:12:00,IEC_62196_T2_COMBO,26.37,CUSTOMER,1026848,5000199,50112,0.46,1.916666667,3,Spring,Sunday,68,1793.16,12,weekend,68.0,March
